root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17190525.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17190608.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17190722.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17191106.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17200129.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17200413.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17200627.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17200815.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17200919.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17201026.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210208.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210403.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210512.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210705.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210728.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17210911.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17211023.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17211222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220208.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220314.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220504.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220521.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220718.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220924.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17220924a.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17221109.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17221231.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230208.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230408.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230525.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230617.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230805.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17230909.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17231106.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17231223.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17240203.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17240429.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17240615.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17240828.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17240904.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17241111.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17241207.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17250104.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17250201.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17250430.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17250524.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17251103.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17251222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260218.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260314.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260509.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260627.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260803.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17260912.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17261103.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17270213.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17270322.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17270811.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17270918.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17271120.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17280212.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17280327.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17280520.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17280626.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17280911.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17281111.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17290207.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17290324.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17290725.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17290822.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17291121.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17291222.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17300417.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17300512.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17300601.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17301007.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17301116.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17301223.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17310308.xml
